number	species	parameter	value	min	max	Column1
1	bh	xa_mumax	0.1927934811	0.0001	6	
2	bh	xb_mumax	0.9781040980	0.0001	6	
3	bh	xa_pHopt	6.8180188470	6	7.8	
4	bh	xb_pHopt	6.5395960604	6	7.8	
5	bh	xa_pHalpha	46.2739563004	10	400	
6	bh	xb_pHalpha	62.5189011214	10	400	
7	bh	xa_k_s1	0.2876080490	0.001	20	
8	bh	xa_k_s2	2.3916509762	0.001	20	
9	bh	xb_k_s3	0.1039681099	0.001	20	
10	bh	xb_k_s4	1.2700484896	0.001	20	
11	bh	xb_k_s2	0.5000000000	0.001	20	
12	bh	xa_g_s1	1.2417775764	0	10	
13	bh	xa_g_s2	1.0000000000	0	10	
14	bh	xa_g_s6_s1	-0.0000000001	-10	0	
15	bh	xa_g_s5_s1	-2.9999999999	-10	0	
16	bh	xa_g_s6_s2	-1.8699494242	-10	0	
17	bh	xb_g_s3	3.7638796806	0	10	
18	bh	xb_g_s4	0.5000000000	0	10	
19	bh	xb_g_s2	10.0000000000	0	10	
20	bh	xb_g_s6_s3_s4	-2.9999999999	-10	0	
21	bh	xb_g_s6_s2	-4.9999999999	-10	0	
22	bh	z1_r	0.0250945181	0	2	
23	bh	z2_r	1.5000000000	0	2	
24	bh	z3_r	0.0000100000	0	2	
25	bh	z4_r	0.2960374542	0	2	
26	bh	z5_r	0.0355569688	0	2	
27	bh	z1_l_s1	0.0000000457	0	10	
28	bh	z2_l_s1	0.2100000000	0	10	
29	bh	z4_l_s3_s4	0.0001293346	0	10	
30	bh	z1_h_s1	1.0000000000	0	50	
31	bh	z2_h_s1	50.0000000000	0	50	
32	bh	z4_h_s3_s4	2.9055456987	0	50	
33	bt	xe_mumax	0.9215459253	0.0001	6	
34	bt	xf_mumax	1.1965073511	0.0001	6	
35	bt	xe_pHopt	7.5078120464	6	7.8	
36	bt	xf_pHopt	6.9840946443	6	7.8	
37	bt	xe_pHalpha	59.8234299511	10	400	
38	bt	xf_pHalpha	71.8163993347	10	400	
39	bt	xe_k_s3	0.3530205777	0.001	20	
40	bt	xe_k_s2	9.9999999149	0.001	20	
41	bt	xf_k_s7	0.1059821090	0.001	20	
42	bt	xe_g_s2	2.9010309178	0	10	
43	bt	xe_g_s3	1.0269754623	0	10	
44	bt	xe_g_s5_s2	-1.7181885318	-10	0	
45	bt	xe_g_s6_s2	-0.2602947550	-10	0	
46	bt	xe_g_s6_s3	-0.9965936487	-10	0	
47	bt	xe_g_s8_s3	-0.6252715462	-10	0	
48	bt	xe_g_s9_s2	-0.6158861983	-10	0	
49	bt	xf_g_s7	0.4040233680	0	10	
50	bt	xf_g_s6_s7	-0.8532416313	-10	0	
51	bt	xf_g_s8_s7	-2.0255236699	-10	0	
52	bt	z6_r	1.4959077700	0	2	
53	bt	z7_r	0.9575532048	0	2	
54	bt	z8_r	0.0765445031	0	2	
55	bt	z9_r	0.0044568271	0	2	
56	bt	z10_r	0.0001000000	0	2	
57	bt	z6_l_s3	0.0099187739	0	10	
58	bt	z6_l_s7	0.5099461371	0	10	
59	bt	z7_l_s3	0.0065072254	0	10	
60	bt	z7_l_pH	5.5000000000	5	5.5	
61	bt	z8_l_s7	0.0000007160	0	10	
62	bt	z8_l_pH	5.5000000000	5	5.5	
63	bt	z10_l_s3	0.5000000000	0	10	
64	bt	z6_h_s3	1.0006644305	0	50	
65	bt	z6_h_s7	1.0022092044	0	50	
66	bt	z7_h_s3	1.4599162310	0	50	
67	bt	z7_h_pH	10.0000000000	0	50	
68	bt	z8_h_s7	30.0000000000	0	50	
69	bt	z8_h_pH	10.0000000000	0	50	
70	bt	z10_h_s3	10.0000000000	0	50	
71	ri	xi_mumax	0.7059668140	0.0001	6	
72	ri	xj_mumax	0.0153451944	0.0001	6	
73	ri	xi_pHopt	7.7682760382	6	7.8	
74	ri	xj_pHopt	7.6243042258	6	7.8	
75	ri	xi_pHalpha	39.5255968898	10	400	
76	ri	xj_pHalpha	19.9999998198	10	400	
77	ri	xi_k_s2	0.5475232775	0.001	20	
78	ri	xi_k_s3	6.8653726711	0.001	20	
79	ri	xj_k_s5	9.9994578496	0.001	20	
80	ri	xj_k_s6	0.2756122752	0.001	20	
81	ri	xi_g_s2	2.7837513180	0	10	
82	ri	xi_g_s3	1.7594802851	0	10	
83	ri	xj_g_s5	1.9604511472	0	10	
84	ri	xj_g_s6	0.8533874512	0	10	
85	ri	xi_g_s5_s3	-0.3774439538	-10	0	
86	ri	xi_g_s6_s2	-0.3051280298	-10	0	
87	ri	xi_g_s6_s3	-0.7276644727	-10	0	
88	ri	xi_g_s10_s2	-1.9948315995	-10	0	
89	ri	xi_g_s10_s3	0.0000000000	-10	0	
90	ri	xj_g_s10_s5	-2.9881962700	-10	0	
91	ri	xj_g_s10_s6	-0.0000000020	-10	0	
92	ri	z11_r	0.0219468232	0	2	
93	ri	z12_r	1.9999999999	0	2	
94	ri	z13_r	0.0100000000	0	2	
95	ri	z14_r	0.0000100000	0	2	
96	ri	z15_r	0.1000000000	0	2	
97	ri	z11_l_s5	2.3311915035	0	10	
98	ri	z12_l_s3_s2	0.0034909802	0	10	
99	ri	z15_l_s3_s2	8.0000000000	0	10	
100	ri	z11_h_s5_s6	29.9999999958	0	50	
101	ri	z12_h_s3_s2	1.1123778083	0	50	
102	r1	z15_h_s3_s2	50.0000000000	0	50	
